State/Union Territory,2011,2012,2013,2014,2015,2016
Andaman and Nicobar Islands,1,0,0,0,1,1
Andhra Pradesh,15,15,16,16,15,19
Arunachal Pradesh,0,0,0,0,0,0
Assam,1,6,1,4,14,23
Bihar,1,2,1,10,0,0
Chandigarh,0,2,0,0,0,0
Chhattisgarh,1,1,1,2,6,8
Delhi,1,1,1,2,0,1
Goa,0,0,0,0,0,0
Gujarat,5,6,12,16,9,12
Haryana,14,18,17,15,14,14
Himachal Pradesh,1,5,2,4,1,0
Jammu and Kashmir,0,0,0,0,0,0
Jharkhand,1,1,1,1,1,4
Karnataka,25,65,26,44,35,51
Kerala,10,15,11,19,13,8
Madhya Pradesh,5,5,6,15,9,9
Maharashtra,15,20,16,14,24,16
Manipur,0,0,0,0,0,0
Meghalaya,0,0,0,0,0,0
Mizoram,0,0,0,0,0,0
Nagaland,0,0,0,0,0,0
Odisha,0,2,0,0,1,15
Puducherry,2,1,3,0,5,0
Punjab,0,8,0,2,5,8
Rajasthan,6,6,5,5,6,12
Sikkim,0,0,0,0,0,0
Tamil Nadu,50,55,56,47,77,55
Telangana,15,15,16,13,15,19
Tripura,1,1,1,1,2,1
Uttar Pradesh,4,4,5,10,4,3
Uttarakhand,0,1,0,0,1,1
West Bengal,40,49,43,37,40,41
