State/Union Territory,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Andaman and Nicobar Islands,397843,415648,448839,474163,509208,575196,646445,686699,719844,-
Andhra Pradesh,37940203,38062901,40711475,44456428,49860626,54021177,59473653,62373237,66884789,65162410
Arunachal Pradesh,1106269,1129917,1233834,1438265,1424046,1489371,1557401,1661994,1791640,-
Assam,14317491,14734238,15452540,16521230,19110900,20208084,21991937,23103957,23784428,-
Bihar,24714396,25685096,26964984,27948244,29648818,31879745,34402783,38138253,40964460,41988313
Chandigarh,1876816,2028513,2210470,2287013,2493224,2691721,2847968,2959705,3123451,-
Chhattisgarh,15807382,16597740,18257945,18581344,19058377,21370478,22013569,23769490,24987503,24545166
Delhi,34379750,36662837,39290838,42835515,47562250,51176524,54201502,57313488,61384270,57897063
Goa,4236666,3585022,3156846,4011649,4609086,5124924,5265269,5740649,5309957,6498194
Gujarat,61560607,68265021,73428387,81142764,89446534,98134196,108656973,118301975,126895663,-
Haryana,29753852,32091191,34750661,37053451,41340479,45670911,48727384,51707999,55970500,52806975
Himachal Pradesh,7271983,7738428,8284669,8906019,9627406,10305500,10940627,11657009,12228389,11472864
Jammu and Kashmir,7825555,8076657,8511550,8237211,9700134,10019868,10658419,11635189,11904290,11967479
Jharkhand,15091759,16325027,16581626,18653439,17488115,19317392,21058730,22927447,23839543,22708213
Karnataka,60600981,64303302,70446604,74842911,83132991,94177405,102286208,108927096,114378127,111381799
Kerala,36404789,38769346,40278133,41995555,45121002,48530154,51618976,54967293,56863552,-
Madhya Pradesh,31556159,35168262,36513394,38394448,41873574,47066916,49714765,52942499,58040617,56084526
Maharashtra,128036944,135794185,145161464,154316487,165428361,180704575,191462142,203331431,213406502,-
Manipur,1291460,1299281,1411509,1524490,1642368,1708192,1875074,1930042,2067301,-
Meghalaya,1991774,2035357,2072571,2014033,2063842,2173023,2256433,2371885,2518959,2329655
Mizoram,725869,777797,903842,1126104,1232359,1359521,1475778,1607340,1803361,-
Nagaland,1217674,1286790,1379259,1439877,1466049,1564992,1643983,1686771,1812084,-
Odisha,23098708,24336348,26589153,27066534,29222893,33734806,36151674,38639548,41237480,39747311
Puducherry,1681801,1731043,1917025,1820665,1906024,2047796,2230818,2291858,2500937,-
Punjab,26662827,28082285,29944973,31212533,33005193,35272056,37540561,39760137,41357818,38616980
Rajasthan,43483664,45456434,48623018,52150893,56333953,59674551,62483093,65571344,68871434,64322178
Sikkim,1116510,1142121,1211405,1307097,1436950,1539727,1767336,1862497,1970017,2043434
Tamil Nadu,75148576,79182431,85197558,89391507,96756246,103676212,112579344,120466736,127855872,129665935
Telangana,35943411,37011312,38995678,41633207,46454244,50794610,55740976,61214756,64859504,64459907
Tripura,1920841,2087297,2281911,2696521,2678690,3053759,3309278,3675396,4020713,4179948
Uttar Pradesh,72405044,75820496,80206969,83443238,90824131,101150052,105774712,112398196,116681747,109262381
Uttarakhand,11532759,12371006,13418237,14127763,15269873,16770325,18104276,19148359,19971848,-
West Bengal,52048504,54219069,55849707,57436434,60954467,65341593,69498032,73908186,78442406,79272009
